N;link;price;cls;
1;https://kaspi.kz/shop/p/komplekt-polutoraspal-nyi-clasy-1-5x-pure-v7-ranfors-103628694/?c=710000000;20000  ;0;
2;https://kaspi.kz/shop/p/pasabahce-nabor-stakanov-istanbul-42402-steklo-101044368/?c=710000000;2200  ;0;
3;https://kaspi.kz/shop/p/ozdilek-polotentse-emily-kerbez366-90x50-sm-1-sht-hlopok-102979870/?c=710000000;2500  ;0;
4;https://kaspi.kz/shop/p/komplekt-dvuspal-nyi-mariva-home-mrv200-tamara-hlopok-poplin-105577878/?c=710000000;16000  ;0;
5;https://kaspi.kz/shop/p/ozdilek-polotentse-emily-kerbez370-140x70-sm-1-sht-hlopok-102979952/?c=710000000;5700  ;0;
6;https://kaspi.kz/shop/p/komplekt-polutoraspal-nyi-lori-postel-turtsiya-7-mariva-poplin-102232230/?c=710000000;16000  ;0;
7;https://kaspi.kz/shop/p/komplekt-polutoraspal-nyi-clasy-clasyalinv2-ranfors-104908432/?c=710000000;20000  ;0;
8;https://kaspi.kz/shop/p/komplekt-polutoraspal-nyi-mariva-home-mrv150arina-poplin-104908435/?c=710000000;15000  ;0;
9;https://kaspi.kz/shop/p/komplekt-polutoraspal-nyi-clasy-campus-v1-ranfors-103218694/?c=710000000;19000  ;0;
10;https://kaspi.kz/shop/p/komplekt-polutoraspal-nyi-clasy-2410212304-ranfors-102683065/?c=710000000;19000  ;0;
